gtin,honest_sign_name
04670332747292,"КУРТКА ""HOMME LEATHER JACKET GREEN"" ЗЕЛЕНЫЙ M"
04670332747285,"КУРТКА ""HOMME LEATHER JACKET GREEN"" ЗЕЛЕНЫЙ S"
04670332747315,"КУРТКА ""HOMME LEATHER JACKET GREEN"" ЗЕЛЕНЫЙ XL"
04670332747278,"КУРТКА ""HOMME LEATHER JACKET GREEN"" ЗЕЛЕНЫЙ XS"
04670332747353,"КУРТКА ""HOMME LEATHER JACKET GREY"" СЕРЫЙ L"
04670332747346,"КУРТКА ""HOMME LEATHER JACKET GREY"" СЕРЫЙ M"
04670332747339,"КУРТКА ""HOMME LEATHER JACKET GREY"" СЕРЫЙ S"
04670332747360,"КУРТКА ""HOMME LEATHER JACKET GREY"" СЕРЫЙ XL"
04670332747322,"КУРТКА ""HOMME LEATHER JACKET GREY"" СЕРЫЙ XS"
04670332745922,"ПУХОВИК ""CAMO PUFFER BLACK"" ЧЕРНЫЙ L"
04670332745915,"ПУХОВИК ""CAMO PUFFER BLACK"" ЧЕРНЫЙ M"
04670332745908,"ПУХОВИК ""CAMO PUFFER BLACK"" ЧЕРНЫЙ S"
04670332745939,"ПУХОВИК ""CAMO PUFFER BLACK"" ЧЕРНЫЙ XL"
04670332745540,"ПУХОВИК ""CAMO PUFFER BLACK"" ЧЕРНЫЙ XS"
04670332745977,"ПУХОВИК ""CARBON PUFFER BLACK"" ЧЕРНЫЙ L"
04670332745960,"ПУХОВИК ""CARBON PUFFER BLACK"" ЧЕРНЫЙ M"
04670332745953,"ПУХОВИК ""CARBON PUFFER BLACK"" ЧЕРНЫЙ S"
04670332745984,"ПУХОВИК ""CARBON PUFFER BLACK"" ЧЕРНЫЙ XL"
04670332745946,"ПУХОВИК ""CARBON PUFFER BLACK"" ЧЕРНЫЙ XS"
04670332746837,"ПУХОВИК ""CRYSTAL PUFFER"" БЕЛЫЙ L"
04670332746820,"ПУХОВИК ""CRYSTAL PUFFER"" БЕЛЫЙ M"
04670332746813,"ПУХОВИК ""CRYSTAL PUFFER"" БЕЛЫЙ S"
